Name,Grade,Scale,Universe,JAPCODE,Series,Release_date,Cost(yen)
HGUC G-Armor + RX-78-2 Gundam ,High Grade,1/144,Universal Century,4543112294531,Mobile Suit Gundam,10/1/2004,¥3024
MG XXXG-00W0 Wing Gundam Zero Custom  ,Master Grade,1/100,After Colony,4543112294548,New Mobile Report Gundam Wing: Endless Waltz,10/1/2004,¥4104
HG Dread Nought Gundam  ,High Grade,1/144,Cosmic Era,4543112294555,Mobile Suit Gundam SEED,10/1/2004,¥1620
Shonen Kenshi Ranmaru ,Super Deformed,No Scale,SD Gundam,4543112294579,Shonen Kenshi Ranmaru,10/1/2004,¥324
Musha Gundam Bakunetsumaru ,Super Deformed,No Scale,SD Gundam,4543112294593,Superior Defender Gundam Force,10/1/2004,¥540
EX LCAM-01XA Archangel  ,EX Model,1/1700,Cosmic Era,4543112294609,Mobile Suit Gundam SEED,09/01/2004,¥4860
MG RB-79 Ball Ver.Ka  ,Master Grade,1/100,Universal Century,4543112314123,Mobile Suit Gundam,12/1/2004,¥2160
PG Strike Gundam  ,Perfect Grade,1/60,Cosmic Era,4543112314130,Mobile Suit Gundam SEED,11/1/2004,¥15120
Shippu Kengo Z ,Super Deformed,No Scale,SD Gundam,4543112314178,Musha Retsuden Bukabuka-hen,10/1/2004,¥540
Hyper Captain Gundam ,Super Deformed,No Scale,SD Gundam,4543112314185,Superior Defender Gundam Force,11/1/2004,¥540
SD Gundam NT-1  ,Super Deformed,No Scale,Universal Century,4543112314192,Mobile Suit Gundam 0080: War in the Pocket,11/1/2004,¥540
HGUC GM Command Space Use  ,High Grade,1/144,Universal Century,4543112314208,Mobile Suit Gundam 0080: War in the Pocket,11/1/2004,¥864
MG RMS-099 Rick Dias (Quatro Custom)  ,Master Grade,1/100,Universal Century,4543112314215,Mobile Suit Zeta Gundam,12/1/2004,¥3888
Shonen Hoshi Kirimaru ,Super Deformed,No Scale,SD Gundam,4543112314260,Musha Retsuden Bukabuka-hen,12/1/2004,¥324
Ryujin Doshi ν ,Super Deformed,No Scale,SD Gundam,4543112318770,Musha Retsuden Bukabuka-hen,12/1/2004,¥540
SD Duel Gundam  ,Super Deformed,No Scale,Cosmic Era,4543112318787,Mobile Suit Gundam SEED,02/01/2005,¥540
EX FFMH-Y-101 Eternal  ,EX Model,1/1700,Cosmic Era,4543112321350,Mobile Suit Gundam SEED,02/01/2005,¥3780
Yonen Gunshi Raigan ,Super Deformed,No Scale,SD Gundam,4543112321527,Musha Retsuden Bukabuka-hen,02/01/2005,¥540
HGUC Gundam Mk-II + Flying Armor  ,High Grade,1/144,Universal Century,4543112321534,Mobile Suit Zeta Gundam,05/01/2005,¥2160
MG RX-78-2 Gundam (One Year War 0079 Ver.)  ,Master Grade,1/100,Universal Century,4543112321558,Mobile Suit Gundam,03/01/2005,¥3456
Gounetsu Karakuri-shi ZZ ,Super Deformed,No Scale,SD Gundam,4543112321688,Musha Retsuden Bukabuka-hen,03/01/2005,¥864
HGUC RMS-108 Marasai  ,High Grade,1/144,Universal Century,4543112321695,Mobile Suit Gundam,01/01/2005,¥1512
MG RB-79K Ball The 08MS Ver.  ,Master Grade,1/100,Universal Century,4543112340962,Mobile Suit Gundam: The 08th MS Team,05/01/2005,¥2592
HGUC NRX-044 Asshimar  ,High Grade,1/144,Universal Century,4543112341006,Mobile Suit Zeta Gundam,06/01/2005,¥2160
PG Sky Grasper + Aile Striker  ,Perfect Grade,1/60,Cosmic Era,4543112341013,Mobile Suit Gundam SEED,06/01/2005,¥5400
Onmitsu Ninja Noomaru ,Super Deformed,No Scale,SD Gundam,4543112341051,Musha Retsuden Bukabuka-hen,05/01/2005,¥648
SD Force Impulse Gundam  ,Super Deformed,No Scale,Cosmic Era,4543112341068,Mobile Suit Gundam SEED Destiny,06/01/2005,¥648
HGUC RX-121-1 Hazel-Custom  ,High Grade,1/144,Universal Century,4543112341075,Advance of Zeta: The Flag of Titans,09/01/2005,¥1404
MG MSM-04 Acguy  ,Master Grade,1/100,Universal Century,4543112341082,Mobile Suit Gundam,07/01/2005,¥4320
MG MSN-00100 Hyaku Shiki + Ballute System  ,Master Grade,1/100,Universal Century,4543112341129,Mobile Suit Zeta Gundam,09/01/2005,¥4320
SD Gunner Zaku Warrior Lunamaria Custom ,Super Deformed,No Scale,Cosmic Era,4543112341174,Mobile Suit Gundam SEED Destiny,07/01/2005,¥648
Tensho Karyudo Mk-II ,Super Deformed,No Scale,SD,4543112341181,Musha Retsuden Bukabuka-hen,08/01/2005,¥648
Kido Musha Rekka Daihagane ,Super Deformed,No Scale,SD,4543112341198,Musha Retsuden Bukabuka-hen,09/01/2005,¥1944
MG MS-06F/J Zaku II (One Year War 0079 Ver.)  ,Master Grade,1/100,Universal Century,4543112341402,Mobile Suit Gundam,04/01/2005,¥2700
MG MS-07B Gouf (One Year War 0079 Ver.)  ,Master Grade,1/100,Universal Century,4543112341419,Mobile Suit Gundam,04/01/2005,¥3024
MG MS-09 Dom (One Year War 0079 Ver.)  ,Master Grade,1/100,Universal Century,4543112341426,Mobile Suit Gundam,04/01/2005,¥4320
MG MS-14S Gelgoog (One Year War 0079 Ver.)  ,Master Grade,1/100,Universal Century,4543112341433,Mobile Suit Gundam,04/01/2005,¥3240
Gundam Mk-II Extra Finish ,High Grade,1/144,Universal Century,4543112341457,Mobile Suit Gundam,05/01/2005,¥2160
Marasai Extra Finish ,High Grade,1/144,Universal Century,4543112341464,Mobile Suit Gundam,05/01/2005,¥3024
HGUC RMS-106 Hi-Zack E.F.S.F.  ,High Grade,1/144,Universal Century,4543112377685,Mobile Suit Zeta Gundam,07/01/2005,¥1080
PG Strike Rouge + Sky Grasper  ,Perfect Grade,1/60,Cosmic Era,4543112382573,Mobile Suit Gundam SEED,08/01/2005,¥20520
MG RX-178 Gundam Mk-II Ver.2.0 A.E.U.G. Ver.  ,Master Grade,1/100,Universal Century,4543112384126,Mobile Suit Zeta Gundam,10/1/2005,¥4320
SD Tekki Musha Psyco  ,Super Deformed,No Scale,SD,4543112384164,SD Sengokuden,10/1/2005,¥1296
MG Freedom Gundam Extra Finish  ,Master Grade,1/100,Cosmic Era,4543112385277,Mobile Suit Gundam SEED,09/01/2005,¥8640
Zeta Gundam (Extra Finish)  ,High Grade,1/144,Universal Century,4543112385581,Mobile Suit Zeta Gundam,10/1/2005,¥3456
SD Blaze Zaku Phantom (Rei Custom)  ,Super Deformed,No Scale,Cosmic Era,4543112390646,Mobile Suit Gundam SEED Destiny,11/1/2005,¥648
HGUC AMX-003 Gaza-C  ,High Grade,1/144,Universal Century,4543112390899,Mobile Suit Zeta Gundam,04/01/2006,¥1620
HGUC Gryphios War set  ,High Grade,1/144,Universal Century,4543112390905,Mobile Suit Zeta Gundam,03/01/2006,¥4536
HGUC RX-121-2A Advanced Hazel  ,High Grade,1/144,Universal Century,4543112395924,Advance of Zeta: The Flag of Titans,11/1/2005,¥1728
HGUC RX-110 Gabthley  ,High Grade,1/144,Universal Century,4543112395962,Mobile Suit Zeta Gundam,12/1/2005,¥1728
MG MSZ-006 Z Gundam Ver.2.0  ,Master Grade,1/100,Universal Century,4543112395979,Mobile Suit Zeta Gundam,12/1/2005,¥5400
Gundam Daishogun (Gundam Evolve Ver.) ,Super Deformed,No Scale,SD,4543112395986,Gundam Evolve,12/1/2005,¥1296
HGUC MS-09 Dom / MS-09R Rick-Dom  ,High Grade,1/144,Universal Century,4543112410375,Mobile Suit Gundam,01/01/2006,¥1836
Triple Dom Set  ,High Grade,1/144,Universal Century,4543112410382,Mobile Suit Gundam,01/01/2006,¥4320
SD Strike Freedom Gundam  ,Super Deformed,No Scale,Cosmic Era,4543112410405,Mobile Suit Gundam SEED Destiny,03/01/2006,¥648
MG MSA-003 Nemo  ,Master Grade,1/100,Universal Century,4543112410429,Mobile Suit Zeta Gundam,02/01/2006,¥3024
Kokuryu Gundam ,Super Deformed,No Scale,SD,4543112414243,SD Gundam Musha Bancho Fuunroku,02/01/2006,¥648
HGUC PMX-001 Palace-Athne  ,High Grade,1/144,Universal Century,4543112414250,Mobile Suit Zeta Gundam,02/01/2006,¥1944
HGUC MSA-005 Methuss  ,High Grade,1/144,Universal Century,4543112418562,Mobile Suit Zeta Gundam,03/01/2006,¥1512
AMX-003 Gaza-C (Haman Custom) (HGUC)  ,High Grade,1/144,Universal Century,4543112419071,Mobile Suit Zeta Gundam,04/01/2006,¥1512
HGUC Qubeley Extra Pearl  ,High Grade,1/144,Universal Century,4543112419088,Mobile Suit Zeta Gundam,03/01/2006,¥3240
MG RX-178 Mk-II Ver.2.0 Titans  ,Master Grade,1/100,Universal Century,4543112419248,Mobile Suit Zeta Gundam,03/01/2006,¥3780
HGUC MS-05 Zaku I  ,High Grade,1/144,Universal Century,4543112434173,Mobile Suit Gundam,05/01/2006,¥1080
MG YMS-15 Gyan  ,Master Grade,1/100,Universal Century,4543112434180,Mobile Suit Gundam,05/01/2006,¥3888
SD Destiny Gundam ,Super Deformed,No Scale,Cosmic Era,4543112434203,Mobile Suit Gundam SEED Destiny,05/01/2006,¥864
HGUC EMS10 Zudah  ,High Grade,1/144,Universal Century,4543112434227,Mobile Suit Gundam MS Igloo,06/01/2006,¥1512
HGUC RX-78 GP02A Gundam GP02 PHYSALIS  ,High Grade,1/144,Universal Century,4543112450692,Mobile Suit Gundam 0083: Stardust Memory,07/01/2006,¥2160
MG Gundam F91  ,Master Grade,1/100,Universal Century,4543112450708,Mobile Suit Gundam F91,07/01/2006,¥3456
HGUC RGM-79 Powerd GM  ,High Grade,1/144,Universal Century,4543112450739,Mobile Suit Gundam 0083: Stardust Memory,08/01/2006,¥1296
MG RB-79 Ball (Shark Mouth)  ,Master Grade,1/100,Universal Century,4543112453815,Mobile Suit Gundam MS Igloo,08/01/2006,¥2376
HGUC MS-05 Zaku I The Black Tri-Star  ,High Grade,1/144,Universal Century,4543112453822,Mobile Suit Gundam,08/01/2006,¥1080
HGUC RX-121-2 Gundam TR-1 Hazel-II  ,High Grade,1/144,Universal Century,4543112459350,Advance of Zeta: The Flag of Titans,09/01/2006,¥1620
MG XM-X1 Crossbone Gundam X1 Ver.Ka  ,Master Grade,1/100,Universal Century,4543112459367,Mobile Suit Crossbone Gundam,09/01/2006,¥3780
U.C. HARD GRAPH Zeon Mobile Scout Set  ,U.C. Hard Graph,1/35,Universal Century,4543112459374,Mobile Suit Gundam,09/01/2006,¥1620
HGUC MS-14S Char's Gelgoog  ,High Grade,1/144,Universal Century,4543112467270,Mobile Suit Gundam,10/1/2006,¥1620
MG GAT-X105 Strike Gundam IWSP  ,Master Grade,1/100,Cosmic Era,4543112467287,Mobile Suit Gundam SEED,10/1/2006,¥4536
U.C. HARD GRAPH Ramba Ral Team Set  ,U.C. Hard Graph,1/35,Universal Century,4543112467294,Mobile Suit Gundam,10/1/2006,¥3240
HGUC MS-05L Zaku I Sniper Type  ,High Grade,1/144,Universal Century,4543112467324,Mobile Suit Gundam,11/1/2006,¥1512
MG Gundam F91 Harrison Martin Custom  ,Master Grade,1/100,Universal Century,4543112467331,Mobile Suit Crossbone Gundam,11/1/2006,¥3240
MG RGM-79(G) GM Sniper  ,Master Grade,1/100,Universal Century,4543112467348,Mobile Suit Gundam: The 08th MS Team,11/1/2006,¥3780
HGUC RGM-79FP GM Striker  ,High Grade,1/144,Universal Century,4543112480828,Mobile Suit Gundam: Bonds of the Battlefield,12/1/2006,¥1296
MG ZGMF-X20A Strike Freedom Gundam  ,Master Grade,1/100,Cosmic Era,4543112480835,Mobile Suit Gundam SEED,12/1/2006,¥5184
SD Strike Noir Gundam  ,Super Deformed,No Scale,Cosmic Era,4543112480842,Mobile Suit Gundam SEED C.E.73: Stargazer,12/1/2006,¥648
U.C. HARD GRAPH E.F.S.F. MS Briefing Set  ,U.C. Hard Graph,1/35,Universal Century,4543112480859,Mobile Suit Gundam: The 08th MS Team,01/01/2007,¥5940
HGUC ORX-005 Gaplant TR-5  ,High Grade,1/144,Universal Century,4543112483393,Advance of Zeta: The Flag of Titans,12/1/2006,¥2592
MG XM-X1 Crossbone Gundam X1 Full Cloth  ,Master Grade,1/100,Universal Century,4543112488275,Mobile Suit Crossbone Gundam,01/01/2007,¥4860
HGUC RGM-79Q GM Quel  ,High Grade,1/144,Universal Century,4543112488312,Mobile Suit Gundam 0083: Stardust Memory,01/01/2007,¥1296
MG RX-93-2 Hi-v Gundam  ,Master Grade,1/100,Universal Century,4543112488329,Mobile Suit Gundam: Char's Counterattack,02/01/2007,¥7560
HGUC MS-14A Gelgoog / MS-14C Gelgoog Cannon  ,High Grade,1/144,Universal Century,4543112489951,Mobile Suit Gundam,03/01/2007,¥1728
MG GAT-X105E Strike Noir Gundam  ,Master Grade,1/100,Cosmic Era,4543112489975,Mobile Suit Gundam SEED C.E.73: Stargazer,03/01/2007,¥4860
MG MS-06J Zaku II Ver.2.0  ,Master Grade,1/100,Universal Century,4543112492524,Mobile Suit Gundam,04/01/2007,¥3780
SD Verde Buster Gundam ,Super Deformed,No Scale,Cosmic Era,4543112492531,Mobile Suit Gundam SEED C.E.73: Stargazer,04/01/2007,¥648
HGUC RX-79BD Blue Destiny Unit 2  ,High Grade,1/144,Universal Century,4543112492548,Mobile Suit Gundam Gaiden,04/01/2007,¥1620
HCM-Pro Freedom Gundam  ,No Grade,1/200,Cosmic Era,4543112492555,Mobile Suit Gundam SEED Destiny,04/01/2007,¥2700
MSZ-006-3 Z Gundam 3 White Unicorn Color Ver.  ,Master Grade,1/100,Universal Century,4543112494825,Mobile Suit Gundam,03/01/2007,¥5400
HGUC MSM-04 Acguy  ,High Grade,1/144,Universal Century,4543112496041,Mobile Suit Gundam,04/01/2007,¥1512
HGUC RX-79(G) Gundam Ground Type  ,High Grade,1/144,Universal Century,4543112498335,Mobile Suit Gundam: The 08th MS Team,06/01/2007,¥1620
MG MS-06S Char's Zaku II Ver.2.0  ,Master Grade,1/100,Universal Century,4543112498342,Mobile Suit Gundam,05/01/2007,¥3780
SD Ryubi Gundam  ,Super Deformed,No Scale,SD,4543112498359,BB Senshi Sangokuden: Fuuun Gouketsu Hen,06/01/2007,¥540
SD Kanu Gundam  ,Super Deformed,No Scale,SD,4543112498366,BB Senshi Sangokuden: Fuuun Gouketsu Hen,06/01/2007,¥540
SD Tyouhi Gundam ,Super Deformed,No Scale,SD,4543112498373,BB Senshi Sangokuden: Fuuun Gouketsu Hen,06/01/2007,¥540
SD Blue Duel Gundam ,Super Deformed,No Scale,Cosmic Era,4543112498380,Mobile Suit Gundam SEED C.E.73: Stargazer,05/01/2007,¥648
PG XXXG-00W0 W-Gundam Zero Custom Special Ver. ,Perfect Grade,1/60,After Colony,4543112498434,New Mobile Report Gundam Wing: Endless Waltz,06/01/2007,¥32400
HGUC RX-79BD-1 Blue Destiny Unit 1  ,High Grade,1/144,Universal Century,4543112505286,Mobile Suit Gundam Gaiden,07/01/2007,¥1620
HGUC MSN-10 Zock  ,High Grade,1/144,Universal Century,4543112505293,Mobile Suit Gundam,07/01/2007,¥2700
MG MS-14S Char's Gelgoog Ver. 2.0  ,Master Grade,1/100,Universal Century,4543112505309,Mobile Suit Gundam,07/01/2007,¥4860
MG WD-M01 Turn A Gundam  ,Master Grade,1/100,Correct Century,4543112505361,Turn A Gundam,08/01/2007,¥4104
SD Stargazer Gundam  ,Super Deformed,No Scale,Cosmic Era,4543112505378,Mobile Suit Gundam SEED C.E.73: Stargazer,08/01/2007,¥648
MG RX-78-2 Gundam Ver. O.Y.W 0079 Animetion Color  ,Master Grade,1/100,Universal Century,4543112505392,Mobile Suit Gundam,07/01/2007,¥3456
SD Blaze Zaku Warrior  ,Super Deformed,No Scale,Cosmic Era,4543112506603,Mobile Suit Gundam SEED Destiny,07/01/2007,¥648
SD Blaze Zaku Phantom (Heine Custom)  ,Super Deformed,No Scale,Cosmic Era,4543112506610,Mobile Suit Gundam SEED Destiny,08/01/2007,¥648
SD Gundam Astray Goldframe  ,Super Deformed,No Scale,Cosmic Era,4543112506627,Mobile Suit Gundam SEED Astray,09/01/2007,¥1080
HGUC Operation Capture of Jaburo ,High Grade,1/144,Universal Century,4543112506658,Mobile Suit Gundam,07/01/2007,¥3240
HGUC RX-79BD-3 Blue Destiny Unit 3  ,High Grade,1/144,Universal Century,4543112512406,Mobile Suit Gundam Gaiden,09/01/2007,¥1620
HGUC MSN-03 Jagd Doga Gunneys Guss Use  ,High Grade,1/144,Universal Century,4543112512413,Mobile Suit Gundam: Char's Counterattack,10/1/2007,¥2376
HGUC MSN-03 Jagd Doga Quess Ea Use  ,High Grade,1/144,Universal Century,4543112512420,Mobile Suit Gundam: Char's Counterattack,10/1/2007,¥2376
MG ZGMF-X42S Destiny Gundam ,Master Grade,1/100,Cosmic Era,4543112512437,Mobile Suit Gundam SEED Destiny,10/1/2007,¥5184
MG ZGMF-X42S Destiny Gundam Extreme Blast Mode ,Master Grade,1/100,Cosmic Era,4543112512444,Mobile Suit Gundam SEED Destiny,10/1/2007,¥7560
SD Sousou Gundam  ,Super Deformed,No Scale,SD,4543112512451,BB Senshi Sangokuden: Fuuun Gouketsu Hen,10/1/2007,¥540
Speed Grade Collection Wing Gundam ,Speed Grade,1/200,After Colony,4543112512499,New Mobile Report Gundam Wing,09/01/2007,¥802
MG MS-14A Gelgoog Ver.2.0  ,Master Grade,1/100,Universal Century,4543112519184,Mobile Suit Gundam,04/01/2008,¥4860
U.C. HARD GRAPH Principality of Zeon Cyclops Squad Set  ,U.C. Hard Graph,1/35,Universal Century,4543112519191,Mobile Suit Gundam 0080: War in the Pocket,11/1/2007,¥3024
SD Ryofu Tallgeese  ,Super Deformed,No Scale,SD,4543112519238,BB Senshi Sangokuden: Fuuun Gouketsu Hen,11/1/2007,¥2160
SD Sonken Gundam  ,Super Deformed,No Scale,SD,4543112519252,BB Senshi Sangokuden: Fuuun Gouketsu Hen,11/1/2007,¥540
MG RX-0 Unicorn Gundam Ver.Ka  ,Master Grade,1/100,Universal Century,4543112522450,Mobile Suit Gundam UC,12/1/2007,¥5400
MG MSN-04 Sazabi Metallic Coating Ver.  ,Master Grade,1/100,Universal Century,4543112522467,Mobile Suit Gundam: Char's Counterattack,12/1/2007,¥15120
HGUC RGZ-91 Re-GZ  ,High Grade,1/144,Universal Century,4543112523655,Mobile Suit Gundam: Char's Counterattack,01/01/2008,¥3024
SD Kakouton Giros  ,Super Deformed,No Scale,SD,4543112523716,BB Senshi Sangokuden: Eiyuu Gekitotsu Hen,02/01/2008,¥540
MG MS-06R High Mobility Type Zaku II Ver.2.0  ,Master Grade,1/100,Universal Century,4543112523730,Mobile Suit Gundam,01/01/2008,¥4860
MG RX-93 Nu Gundam Metallic Coating Ver.  ,Master Grade,1/100,Universal Century,4543112523747,Mobile Suit Gundam: Char's Counterattack,02/01/2008,¥9180
Speed ​​Grade Collection G Gundam ,Speed Grade,1/200,Future Century,4543112529459,Mobile Fighter G Gundam,03/01/2008,¥1008
Three Kingdoms Taoyuan Oaths  ,Super Deformed,No Scale,SD,4543112530479,BB Senshi Sangokuden,12/1/2007,¥1944
MG MS-06F Zaku Mine Layer  ,Master Grade,1/100,Universal Century,4543112531193,Mobile Suit Gundam,03/01/2008,¥4860
HGUC RX-93 Nu Gundam  ,High Grade,1/144,Universal Century,4543112531438,Mobile Suit Gundam: Char's Counterattack,03/01/2008,¥2700
MG MS-06F ZakuII Ver.2.0  ,Master Grade,1/100,Universal Century,4543112531445,Mobile Suit Gundam,03/01/2008,¥3780
MG GAT-X105E Strike E+IWSP Lukas O'Donnell Custom  ,Master Grade,1/100,Cosmic Era,4543112531452,Mobile Suit Gundam SEED Frame Astrays,02/01/2008,¥4860
HG Mobile Sigue Zist Elways Use  ,High Grade,1/144,Cosmic Era,4543112531506,Mobile Suit Gundam SEED Frame Astrays,02/01/2008,¥1296
HG Gundam Astray Green Frame Trojan Noiret Custom  ,High Grade,1/144,Cosmic Era,4543112531513,Mobile Suit Gundam SEED Frame Astrays,03/01/2008,¥1296
HGUC RX-78-3 Gundam + MS-09RS Rick Dom Char's Custom Set  ,High Grade,1/144,Universal Century,4543112537065,Mobile Suit Gundam,02/01/2008,¥2700
HCM Pro Gundam Deathscythe ,HCM,1/200,After Colony,4543112537171,New Mobile Report Gundam Wing,05/01/2008,¥3024
MG GAT-X105 Launcher & Sword Strike Gundam  ,Master Grade,1/100,Cosmic Era,4543112538017,Mobile Suit Gundam SEED,04/01/2008,¥5400
SD Gundam Char's Counter Attack Set  ,Super Deformed,No Scale,Universal Century,4543112538024,Mobile Suit Gundam: Char's Counterattack,03/01/2008,¥3240
SD Strike Freedom Gundam VS Destiny Gundam  ,Super Deformed,No Scale,Cosmic Era,4543112538031,Mobile Suit Gundam SEED Destiny,03/01/2008,¥1620
MG Shin Musha Gundam  ,Master Grade,1/100,Dynasty Warriors: Gundam,4543112538048,Dynasty Warriors: Gundam,06/01/2008,¥5400
HCM Pro Wing Gundam ,HCM,1/200,After Colony,4543112538147,New Mobile Report Gundam Wing,06/01/2008,¥3024
HCM Pro Gundam Heavyarms ,HCM,1/200,After Colony,4543112538154,New Mobile Report Gundam Wing,06/01/2008,¥3024
HCM Pro Gundam Sandrock ,HCM,1/200,After Colony,4543112538161,New Mobile Report Gundam Wing,07/01/2008,¥3024
SD Kakouenn Daras  ,Super Deformed,No Scale,SD,4543112544803,BB Senshi Sangokuden: Eiyuu Gekitotsu Hen,05/01/2008,¥648
HGUC MS-06FZ Zaku II Custom  ,High Grade,1/144,Universal Century,4543112544841,Mobile Suit Gundam 0080: War in the Pocket,05/01/2008,¥1296
MG ZGMF-X56S Force Impulse Gundam  ,Master Grade,1/100,Cosmic Era,4543112544988,Mobile Suit Gundam SEED Destiny,05/01/2008,¥4860
HGUC Sazabi  ,High Grade,1/144,Universal Century,4543112544995,Mobile Suit Gundam: Char's Counterattack,06/01/2008,¥3024
SD Kanpei Gundam  ,Super Deformed,No Scale,SD,4543112545022,BB Senshi Sangokuden: Eiyuu Gekitotsu Hen,06/01/2008,¥648
SD Zhaoyun Gundam Hieisen  ,Super Deformed,No Scale,SD,4543112546012,BB Senshi Sangokuden: Eiyuu Gekitotsu Hen,07/01/2008,¥1080
HCM Pro Tallgeese ,HCM,1/200,After Colony,4543112549624,New Mobile Report Gundam Wing,08/01/2008,¥3024
MG RX-78-2 Gundam Ver.2.0  ,Master Grade,1/100,Universal Century,4543112555205,Mobile Suit Gundam,07/01/2008,¥4536
MG MS-06K Zaku Cannon  ,Master Grade,1/100,Universal Century,4543112555212,Mobile Suit Gundam,08/01/2008,¥4860
HGUC MS-18E Kampfer  ,High Grade,1/144,Universal Century,4543112555236,Mobile Suit Gundam 0080: War in the Pocket,08/01/2008,¥1944
SD Gundam Exia  ,Super Deformed,No Scale,Anno Domini,4543112555281,Mobile Suit Gundam 00,08/01/2008,¥648
SD Lumeng Dijeh Ganning Kampfer Go Kyosyu Suigun  ,Super Deformed,No Scale,SD,4543112555366,BB Senshi Sangokuden: Eiyuu Gekitotsu Hen,08/01/2008,¥1944
HCM Pro Shenlong Gundam ,HCM,1/200,After Colony,4543112555380,New Mobile Report Gundam Wing,09/01/2008,¥3240
HGUC Rick Dom II Light Green Version  ,High Grade,1/144,Universal Century,4543112557407,Mobile Suit Gundam 0080: War in the Pocket,08/01/2008,¥1620
MG MS-06S Zaku (Johnny Leyden Custom) Ver.2.0  ,Master Grade,1/100,Universal Century,4543112565358,Mobile Suit Gundam,09/01/2008,¥4860
MG ZGMF-X19A Infinite Justice Gundam  ,Master Grade,1/100,Cosmic Era,4543112566492,Mobile Suit Gundam SEED Destiny,10/1/2008,¥5400
00 Gundam (SD)  ,Super Deformed,No Scale,Anno Domini,4543112566508,Mobile Suit Gundam 00,10/1/2008,¥648
SD Shuyu Hyaku Shiki  ,Super Deformed,No Scale,SD,4543112566515,BB Senshi Sangokuden: Eiyuu Gekitotsu Hen,10/1/2008,¥648
HGUC Geara Doga  ,High Grade,1/144,Universal Century,4543112566546,Mobile Suit Gundam: Char's Counterattack,11/1/2008,¥1944
MG MS-06R-1A Zaku Ver.2.0 Shin Matsunaga Custom  ,Master Grade,1/100,Universal Century,4543112566553,Mobile Suit Gundam,11/1/2008,¥4860
MG MSN-06S Sinanju Ver.Ka  ,Master Grade,1/100,Universal Century,4543112568779,Mobile Suit Gundam UC,12/1/2008,¥7560
SD Shouretsutei Ryuubi Gundam  ,Super Deformed,No Scale,SD,4543112568830,BB Senshi Sangokuden: Eiyuu Gekitotsu Hen,12/1/2008,¥2160
MG ZGMF-X20A Strike Freedom Gundam Extra Finish Ver.  ,Master Grade,1/100,Cosmic Era,4543112568922,Mobile Suit Gundam SEED,09/01/2008,¥10800
MG RX-178 Gundam Mk-II Ver.2.0 A.E.U.G. Limited Ver.  ,Master Grade,1/100,Universal Century,4543112569479,Mobile Suit Zeta Gundam,11/1/2008,¥4320
MG RX-178 Mk-II Ver.2.0 Titans Limited Ver.  ,Master Grade,1/100,Universal Century,4543112569486,Mobile Suit Zeta Gundam,11/1/2008,¥4320
MG G Fighter [For Gundam Ver. 2.0 Operation V Model]  ,Master Grade,1/100,Universal Century,4543112574657,Mobile Suit Gundam,01/01/2009,¥6048
SD Rikuson Z Plus  ,Super Deformed,No Scale,SD,4543112574664,BB Senshi Sangokuden: Eiyuu Gekitotsu Hen,01/01/2009,¥648
HGUC Geara Doga (Rezin Schnyder Use)  ,High Grade,1/144,Universal Century,4543112574688,Mobile Suit Gundam: Char's Counterattack,01/01/2009,¥1944
MG Z Gundam Ver.2.0 HD Color  ,Master Grade,1/100,Universal Century,4543112574695,Mobile Suit Zeta Gundam,01/01/2009,¥5400
U.C. HARD GRAPH E.F.F. Type 61 Tank 5 'Semovente Squad'  ,U.C. Hard Graph,1/35,Universal Century,4543112574718,Mobile Suit Gundam MS Igloo,01/01/2009,¥9720
SD Koumei Re-GZ & Zhao Yun Gundam  ,Super Deformed,No Scale,SD,4543112574725,BB Senshi Sangokuden: Eiyuu Gekitotsu Hen,12/1/2008,¥1296
HGUC MS-06 Zaku Ground Attack Set  ,High Grade,1/144,Universal Century,4543112577320,Mobile Suit Gundam MS Igloo,02/14/2009,¥2376
MG Hyaku Shiki HD Color  ,Master Grade,1/100,Universal Century,4543112577375,Mobile Suit Zeta Gundam,02/01/2009,¥5184
MG RGM-79 GM Ver.2.0  ,Master Grade,1/100,Universal Century,4543112581266,Mobile Suit Gundam,02/01/2009,¥3780
MG Shin Musha Gundam 'Sengoku no Jin'  ,Master Grade,1/100,Dynasty Warriors: Gundam,4543112582119,Dynasty Warriors: Gundam,03/01/2009,¥8640
SD Bacho Blue Destiny  ,Super Deformed,No Scale,SD,4543112584342,BB Senshi Sangokuden: Eiyuu Gekitotsu Hen,03/01/2009,¥648
1/100 Gundam Astray Green Frame  ,No Grade,1/100,Cosmic Era,4543112584359,Mobile Suit Gundam SEED Frame Astrays,03/01/2009,¥2700
HGUC Nu Gundam (Heavy Weapon System Equipment Type)  ,High Grade,1/144,Universal Century,4543112584366,Mobile Suit Gundam: Char's Counterattack,04/01/2009,¥3024
SD 00 Raiser  ,Super Deformed,No Scale,Anno Domini,4543112584373,Mobile Suit Gundam 00,04/01/2009,¥1080
SD Kochu Gundam  ,Super Deformed,No Scale,SD,4543112584380,BB Senshi Sangokuden: Eiyuu Gekitotsu Hen,04/01/2009,¥648
PG Gundam Astray Red Frame  ,Perfect Grade,1/60,Cosmic Era,4543112584632,Mobile Suit Gundam SEED Astray,03/01/2009,¥19440
MG RX-0 Unicorn Gundam Ver.Ka Titanium Finish  ,Master Grade,1/100,Universal Century,4543112584717,Mobile Suit Gundam UC,03/01/2009,¥8640
